2026-04-27 16:29:53 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:05 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:05 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:05 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:06 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:06 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:06 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:07 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:07 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:07 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:07 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:08 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:08 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:08 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:08 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:09 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:09 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:09 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:09 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:10 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:10 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:10 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:10 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:11 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:11 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:11 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:11 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:12 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:12 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:12 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:12 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:13 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:13 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:13 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:13 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:14 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:14 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:14 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:14 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:15 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:15 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:15 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:15 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:16 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:16 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:16 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:16 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:17 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:17 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:17 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:17 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:18 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:18 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:18 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:18 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:19 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:19 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:19 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:19 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:20 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:20 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:20 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:20 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:21 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:21 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:21 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:21 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:22 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:22 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:22 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:23 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:23 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:23 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:23 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:24 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:24 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:24 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:24 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:25 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:25 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:25 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:25 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:26 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:26 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:26 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:26 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:27 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:27 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:27 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:27 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:28 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:28 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:28 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:28 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:29 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:29 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:29 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:29 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:30 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:30 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:30 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:30 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:31 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:31 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:31 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:31 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:32 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:32 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:32 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:32 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:33 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:33 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:33 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:33 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:34 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:34 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:34 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:34 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:35 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:35 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:35 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:35 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:36 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:36 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:36 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:36 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:37 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:37 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:37 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:37 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:38 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:38 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:38 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:39 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:39 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:39 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:39 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:40 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:40 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:40 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:40 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:41 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:41 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:41 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:41 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:42 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:42 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:42 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:42 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:43 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:43 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:43 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:43 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:44 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:44 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:44 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:44 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:45 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:45 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
